"Product","Price","Shipping","Product image","Product link"
"SAMSUNG GALAXY S8- S9 - S9+ PLUS G960U1- G965U1- FACTORY UNLOCKED GSM/CDMA ","$99.99 to $329.99","$21.00 shipping","https://i.ebayimg.com/thumbs/images/g/iKsAAOSwX3Vhd3yC/s-l300.webp","https://www.ebay.com/itm/324842105036?epid=0&hash=item4ba21928cc:g:iKsAAOSwX3Vhd3yC&amdata=enc%3AAQAHAAAA4B7toSVKYLcrHt9WaD8rxcUJNJDxN0TYgQVpOPUaVYe9hMtuN8SCnbg1%2FVnxpT%2FiNIOT1NoPgHV8Eto0%2FtaqnA%2FP9jIfl1Yno016%2FZacUg%2BD1jDDJ6XoVntBkuCmQin5JWZTwuO32B1J1kcLAoPAZW3aphH9TRLgnMicncc82PlGk6vTQS3O5qXxuwqTz1BNAOedUONksAqhqrTLGzYBM5M15953Xxy6i0oirMB3THivvrqZwppQiwUSpZ5DmhVCliP2vQeCZ7IseREdUVANqcDxkZNb3bhPzsTENLwEs6la%7Ctkp%3ABFBMnKmo2cRg&var=513974266377"
"For Samsung Galaxy S10 Plus Full Curved Tempered Glass Screen Protector Clear","$7.16","$9.56 shipping","https://i.ebayimg.com/thumbs/images/g/LqcAAOSweI1cUUB0/s-l300.webp","https://www.ebay.com/itm/273742537668?hash=item3fbc53a3c4:g:LqcAAOSweI1cUUB0&amdata=enc%3AAQAHAAAA4DORme9%2B3NwXGg9Yn9bc%2Bt1oopAeXDxJkAmmJn2hKlkHT9iEaAPop9h6pbQUdnzDb6%2Fqod%2BRWkJtXiAJa%2Fj8tNrepmePt05cc2xXHxGgK56s1mqAM1kepT2OMZ4Ody2rldMTWmpPugqSg6gnsh1F2BUF0nn6pLpFsSRLYq%2FpRTWAiXGWIWtzeOHClowV4CXUD7l1JT1yFz%2Bz4ebUfSQh%2BBDzDdk6qXQYcbERJbEVr%2B3vgGEZpEFrA9GU1bUyWJAppoqvZQHTsgYtGrr9%2FBgllcrZ9QueO9imsi8xm3P4Mchr%7Ctkp%3ABFBMnKmo2cRg"
"Samsung Galaxy S10+ SM-G975F 128GB Prism Green Unlocked Dual SIM Poor 922","$119.48","$25.08 shipping","https://i.ebayimg.com/thumbs/images/g/iKQAAOSwtQpis5Y3/s-l300.webp","https://www.ebay.com/itm/334498652003?epid=28029464956&hash=item4de1ac5f63:g:iKQAAOSwtQpis5Y3&amdata=enc%3AAQAHAAAA4OjNBihgcrfq9BGSV1S3uEhxNorhPEHPM8%2FcsmFLVFZz61Zzq8FaSr6hjD%2F%2BTwEOZnRFtP0C9jlV65IV0icBRh4fM9Ap%2FK0WMBIq5JzKsl1skNmFuCerbh81wSlo%2FYe4K7Feivfen%2BPa9BWoWraAIwZXAOGje3ZhC%2F1fhgtA5Vms5MN86s6G06Ihs8sVCETyxNYrkgHT9wWqKnMDhAAyizYjOlpWntL4Vdxp%2B%2FwswH4BMHABhmGU93rNnUBpxpQ23C8W2gjOH%2Fnw2YN87sq2UXprgZmyMR%2B931I4i5eJ%2FLmI%7Ctkp%3ABFBMnKmo2cRg"
"Samsung Galaxy S10+ Plus SM-G975F/DS 128/512GB/1TB Unlocked Good Condition","$262.87","$31.06 shipping","https://i.ebayimg.com/thumbs/images/g/gRMAAOSwBsVihfS1/s-l300.webp","https://www.ebay.com/itm/384353206840?epid=24029456715&hash=item597d3c8238:g:gRMAAOSwBsVihfS1&amdata=enc%3AAQAHAAAA4IZrbXTlbpaGowpBT8qTFeSg4zHzrw20a7ADxhxVPgbj0fNfuA4J0jXyJotyK8cIunQJ04Nuu%2FY3w25cLUY12sCPCUkEaBo7TtgRFiCJ%2B0vR8VhI7rn7abC5Er5CBKx2jzUr8nQgNBJJI1ORFkFz2W7SU8vibfVrfLjMY2fvUaTfC%2BtBVFZV%2BBE9U6EixXFyjW%2FoD8Xy7gG%2BM%2FiVGCjPhkqIBs84N3yhD4oMOdC9geX7pyoNPIc1fY3kyEx%2F9PjMrMtSoojvNfoP5m%2BCoFTYqugess9DhyJTA3DH%2FZ9fXitL%7Ctkp%3ABFBMnKmo2cRg&var=652524873859"
"Samsung Galaxy A53 5G SM-A536B/DS - 128GB - Awesome White (Unlocked) Little Use ","$221.06","","https://i.ebayimg.com/thumbs/images/g/mMAAAOSwhsBi1pqY/s-l300.webp","https://www.ebay.com/p/21053004936?iid=304568531500&rt=nc"
"Samsung Galaxy S10 S10e S10+ S10 5G 128-1TB T-Mobile OR Unlocked FAIR 5-7/10","$103.57 to $143.47","$59.95 shipping","https://i.ebayimg.com/thumbs/images/g/bboAAOSw~Pxg5Kwt/s-l300.webp","https://www.ebay.com/p/12051453707?iid=255580639352&var=555525735168"
"Samsung Galaxy S10e S10 s10 plus10 lite 128GB Mobile Black/White Unlocked GRADE","$209.11 to $358.47","$23.90 shipping","https://i.ebayimg.com/thumbs/images/g/97wAAOSw4kNeelg4/s-l300.webp","https://www.ebay.com/itm/193395085498?hash=item2d073ed0ba:g:97wAAOSw4kNeelg4&var=493593004551"
"Samsung Galaxy A50 / A50s 64/128GB AT&T Verizon OR GSM Unlocked GOOD 7.5-8.5/10","$52.05 to $68.29","$59.95 shipping","https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif","https://www.ebay.com/itm/254834627821?hash=item3b5553d4ed:g:CGIAAOSwrN5gpnYO&var=555094786360"
"Samsung Galaxy A52 5G | 128GB AT&T Metro GSM Unlocked OR Locked | FAIR 5/10-7/10","$133.22 to $194.97","$59.95 shipping","https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif","https://www.ebay.com/p/23050810654?iid=274908338792&var=575179195903"
"Samsung Galaxy Note10 5G 256GB SM-N971N GSM Factory Unlocked Single Sim Grade A","$300.00","Free shipping","https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif","https://www.ebay.com/p/25043611820?iid=154701384947&var=454793156292"
"Samsung Galaxy S7 SM-G930F 32 GB Silver Smartphone (without Simlock) Like NEW","$56.04","","https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif","https://www.ebay.com/p/2279429139?iid=155077492503&rt=nc"
